"","Sample.Name","location","loci","allele1","alllele2"
"12","scul351","Hamilton Lake Ontario","loc105",326,332
"60","scul351","Hamilton Lake Ontario","loc128",318,332
"108","scul351","Hamilton Lake Ontario","loc11",204,224
"156","scul351","Hamilton Lake Ontario","loc113",138,138
"204","scul351","Hamilton Lake Ontario","loc213",331,331
"252","scul351","Hamilton Lake Ontario","loc2",236,242
"300","scul351","Hamilton Lake Ontario","loc8",102,105
"348","scul351","Hamilton Lake Ontario","loc17",114,129
"396","scul351","Hamilton Lake Ontario","loc13",233,233
"2","scul352","Hamilton Lake Ontario","loc105",326,326
"50","scul352","Hamilton Lake Ontario","loc128",332,332
"98","scul352","Hamilton Lake Ontario","loc11",204,218
"146","scul352","Hamilton Lake Ontario","loc113",132,138
"194","scul352","Hamilton Lake Ontario","loc213",331,331
"242","scul352","Hamilton Lake Ontario","loc2",236,242
"290","scul352","Hamilton Lake Ontario","loc8",102,102
"338","scul352","Hamilton Lake Ontario","loc17",111,123
"386","scul352","Hamilton Lake Ontario","loc13",233,233
"4","scul353","Hamilton Lake Ontario","loc105",326,326
"52","scul353","Hamilton Lake Ontario","loc128",318,324
"100","scul353","Hamilton Lake Ontario","loc11",204,222
"148","scul353","Hamilton Lake Ontario","loc113",132,138
"196","scul353","Hamilton Lake Ontario","loc213",331,331
"244","scul353","Hamilton Lake Ontario","loc2",236,245
"292","scul353","Hamilton Lake Ontario","loc8",102,102
"340","scul353","Hamilton Lake Ontario","loc17",111,139
"388","scul353","Hamilton Lake Ontario","loc13",233,242
"42","scul354","Hamilton Lake Ontario","loc105",326,326
"90","scul354","Hamilton Lake Ontario","loc128",318,334
"138","scul354","Hamilton Lake Ontario","loc11",204,204
"186","scul354","Hamilton Lake Ontario","loc113",132,138
"234","scul354","Hamilton Lake Ontario","loc213",331,331
"282","scul354","Hamilton Lake Ontario","loc2",236,236
"330","scul354","Hamilton Lake Ontario","loc8",102,102
"378","scul354","Hamilton Lake Ontario","loc17",96,120
"426","scul354","Hamilton Lake Ontario","loc13",233,236
"35","scul355","Hamilton Lake Ontario","loc105",326,336
"83","scul355","Hamilton Lake Ontario","loc128",318,334
"131","scul355","Hamilton Lake Ontario","loc11",218,222
"179","scul355","Hamilton Lake Ontario","loc113",138,138
"227","scul355","Hamilton Lake Ontario","loc213",331,331
"275","scul355","Hamilton Lake Ontario","loc2",233,236
"323","scul355","Hamilton Lake Ontario","loc8",93,102
"371","scul355","Hamilton Lake Ontario","loc17",93,105
"419","scul355","Hamilton Lake Ontario","loc13",239,239
"7","scul356","Hamilton Lake Ontario","loc105",326,332
"55","scul356","Hamilton Lake Ontario","loc128",318,326
"103","scul356","Hamilton Lake Ontario","loc11",204,222
"151","scul356","Hamilton Lake Ontario","loc113",138,138
"199","scul356","Hamilton Lake Ontario","loc213",331,331
"247","scul356","Hamilton Lake Ontario","loc2",236,236
"295","scul356","Hamilton Lake Ontario","loc8",102,102
"343","scul356","Hamilton Lake Ontario","loc17",0,0
"391","scul356","Hamilton Lake Ontario","loc13",233,239
"47","scul357","Hamilton Lake Ontario","loc105",326,326
"95","scul357","Hamilton Lake Ontario","loc128",318,332
"143","scul357","Hamilton Lake Ontario","loc11",218,222
"191","scul357","Hamilton Lake Ontario","loc113",138,138
"239","scul357","Hamilton Lake Ontario","loc213",331,331
"287","scul357","Hamilton Lake Ontario","loc2",239,242
"335","scul357","Hamilton Lake Ontario","loc8",102,102
"383","scul357","Hamilton Lake Ontario","loc17",105,111
"431","scul357","Hamilton Lake Ontario","loc13",233,233
"39","scul358","Hamilton Lake Ontario","loc105",326,330
"87","scul358","Hamilton Lake Ontario","loc128",332,336
"135","scul358","Hamilton Lake Ontario","loc11",218,222
"183","scul358","Hamilton Lake Ontario","loc113",138,138
"231","scul358","Hamilton Lake Ontario","loc213",331,331
"279","scul358","Hamilton Lake Ontario","loc2",242,242
"327","scul358","Hamilton Lake Ontario","loc8",102,102
"375","scul358","Hamilton Lake Ontario","loc17",111,117
"423","scul358","Hamilton Lake Ontario","loc13",227,227
"46","scul359","Hamilton Lake Ontario","loc105",332,332
"94","scul359","Hamilton Lake Ontario","loc128",318,332
"142","scul359","Hamilton Lake Ontario","loc11",222,222
"190","scul359","Hamilton Lake Ontario","loc113",138,138
"238","scul359","Hamilton Lake Ontario","loc213",331,331
"286","scul359","Hamilton Lake Ontario","loc2",236,242
"334","scul359","Hamilton Lake Ontario","loc8",102,102
"382","scul359","Hamilton Lake Ontario","loc17",117,117
"430","scul359","Hamilton Lake Ontario","loc13",233,236
"3","scul360","Hamilton Lake Ontario","loc105",326,332
"51","scul360","Hamilton Lake Ontario","loc128",324,346
"99","scul360","Hamilton Lake Ontario","loc11",204,222
"147","scul360","Hamilton Lake Ontario","loc113",132,138
"195","scul360","Hamilton Lake Ontario","loc213",331,331
"243","scul360","Hamilton Lake Ontario","loc2",236,248
"291","scul360","Hamilton Lake Ontario","loc8",102,102
"339","scul360","Hamilton Lake Ontario","loc17",108,126
"387","scul360","Hamilton Lake Ontario","loc13",233,233
"27","scul361","Hamilton Lake Ontario","loc105",326,326
"75","scul361","Hamilton Lake Ontario","loc128",318,332
"123","scul361","Hamilton Lake Ontario","loc11",222,222
"171","scul361","Hamilton Lake Ontario","loc113",138,138
"219","scul361","Hamilton Lake Ontario","loc213",331,331
"267","scul361","Hamilton Lake Ontario","loc2",233,236
"315","scul361","Hamilton Lake Ontario","loc8",102,102
"363","scul361","Hamilton Lake Ontario","loc17",114,114
"411","scul361","Hamilton Lake Ontario","loc13",221,233
"38","scul362","Hamilton Lake Ontario","loc105",326,326
"86","scul362","Hamilton Lake Ontario","loc128",318,332
"134","scul362","Hamilton Lake Ontario","loc11",222,222
"182","scul362","Hamilton Lake Ontario","loc113",138,140
"230","scul362","Hamilton Lake Ontario","loc213",331,331
"278","scul362","Hamilton Lake Ontario","loc2",236,242
"326","scul362","Hamilton Lake Ontario","loc8",102,102
"374","scul362","Hamilton Lake Ontario","loc17",111,114
"422","scul362","Hamilton Lake Ontario","loc13",227,233
"29","scul363","Hamilton Lake Ontario","loc105",326,326
"77","scul363","Hamilton Lake Ontario","loc128",318,332
"125","scul363","Hamilton Lake Ontario","loc11",204,218
"173","scul363","Hamilton Lake Ontario","loc113",132,138
"221","scul363","Hamilton Lake Ontario","loc213",331,331
"269","scul363","Hamilton Lake Ontario","loc2",236,245
"317","scul363","Hamilton Lake Ontario","loc8",102,105
"365","scul363","Hamilton Lake Ontario","loc17",108,111
"413","scul363","Hamilton Lake Ontario","loc13",233,236
"40","scul364","Hamilton Lake Ontario","loc105",326,332
"88","scul364","Hamilton Lake Ontario","loc128",318,332
"136","scul364","Hamilton Lake Ontario","loc11",218,222
"184","scul364","Hamilton Lake Ontario","loc113",138,138
"232","scul364","Hamilton Lake Ontario","loc213",331,331
"280","scul364","Hamilton Lake Ontario","loc2",236,239
"328","scul364","Hamilton Lake Ontario","loc8",102,102
"376","scul364","Hamilton Lake Ontario","loc17",102,102
"424","scul364","Hamilton Lake Ontario","loc13",233,233
"31","scul365","Hamilton Lake Ontario","loc105",326,326
"79","scul365","Hamilton Lake Ontario","loc128",332,332
"127","scul365","Hamilton Lake Ontario","loc11",204,222
"175","scul365","Hamilton Lake Ontario","loc113",138,138
"223","scul365","Hamilton Lake Ontario","loc213",331,331
"271","scul365","Hamilton Lake Ontario","loc2",236,242
"319","scul365","Hamilton Lake Ontario","loc8",102,102
"367","scul365","Hamilton Lake Ontario","loc17",93,108
"415","scul365","Hamilton Lake Ontario","loc13",233,233
"48","scul366","Hamilton Lake Ontario","loc105",326,330
"96","scul366","Hamilton Lake Ontario","loc128",318,324
"144","scul366","Hamilton Lake Ontario","loc11",204,218
"192","scul366","Hamilton Lake Ontario","loc113",138,138
"240","scul366","Hamilton Lake Ontario","loc213",331,331
"288","scul366","Hamilton Lake Ontario","loc2",236,236
"336","scul366","Hamilton Lake Ontario","loc8",102,105
"384","scul366","Hamilton Lake Ontario","loc17",108,123
"432","scul366","Hamilton Lake Ontario","loc13",233,236
"13","scul367","Hamilton Lake Ontario","loc105",326,332
"61","scul367","Hamilton Lake Ontario","loc128",318,346
"109","scul367","Hamilton Lake Ontario","loc11",222,222
"157","scul367","Hamilton Lake Ontario","loc113",138,138
"205","scul367","Hamilton Lake Ontario","loc213",331,331
"253","scul367","Hamilton Lake Ontario","loc2",236,236
"301","scul367","Hamilton Lake Ontario","loc8",102,105
"349","scul367","Hamilton Lake Ontario","loc17",138,138
"397","scul367","Hamilton Lake Ontario","loc13",233,233
"26","scul368","Hamilton Lake Ontario","loc105",326,332
"74","scul368","Hamilton Lake Ontario","loc128",318,332
"122","scul368","Hamilton Lake Ontario","loc11",204,222
"170","scul368","Hamilton Lake Ontario","loc113",138,138
"218","scul368","Hamilton Lake Ontario","loc213",331,331
"266","scul368","Hamilton Lake Ontario","loc2",245,245
"314","scul368","Hamilton Lake Ontario","loc8",102,102
"362","scul368","Hamilton Lake Ontario","loc17",117,129
"410","scul368","Hamilton Lake Ontario","loc13",236,239
"28","scul369","Hamilton Lake Ontario","loc105",326,326
"76","scul369","Hamilton Lake Ontario","loc128",318,332
"124","scul369","Hamilton Lake Ontario","loc11",204,222
"172","scul369","Hamilton Lake Ontario","loc113",138,138
"220","scul369","Hamilton Lake Ontario","loc213",331,331
"268","scul369","Hamilton Lake Ontario","loc2",236,242
"316","scul369","Hamilton Lake Ontario","loc8",102,102
"364","scul369","Hamilton Lake Ontario","loc17",117,117
"412","scul369","Hamilton Lake Ontario","loc13",236,236
"45","scul370","Hamilton Lake Ontario","loc105",326,326
"93","scul370","Hamilton Lake Ontario","loc128",318,332
"141","scul370","Hamilton Lake Ontario","loc11",222,222
"189","scul370","Hamilton Lake Ontario","loc113",138,138
"237","scul370","Hamilton Lake Ontario","loc213",331,331
"285","scul370","Hamilton Lake Ontario","loc2",236,236
"333","scul370","Hamilton Lake Ontario","loc8",102,102
"381","scul370","Hamilton Lake Ontario","loc17",102,126
"429","scul370","Hamilton Lake Ontario","loc13",233,233
"6","scul371","Hamilton Lake Ontario","loc105",326,326
"54","scul371","Hamilton Lake Ontario","loc128",332,332
"102","scul371","Hamilton Lake Ontario","loc11",222,222
"150","scul371","Hamilton Lake Ontario","loc113",138,138
"198","scul371","Hamilton Lake Ontario","loc213",331,331
"246","scul371","Hamilton Lake Ontario","loc2",236,245
"294","scul371","Hamilton Lake Ontario","loc8",102,102
"342","scul371","Hamilton Lake Ontario","loc17",123,142
"390","scul371","Hamilton Lake Ontario","loc13",233,233
"34","scul372","Hamilton Lake Ontario","loc105",326,326
"82","scul372","Hamilton Lake Ontario","loc128",316,318
"130","scul372","Hamilton Lake Ontario","loc11",204,222
"178","scul372","Hamilton Lake Ontario","loc113",138,138
"226","scul372","Hamilton Lake Ontario","loc213",331,331
"274","scul372","Hamilton Lake Ontario","loc2",236,236
"322","scul372","Hamilton Lake Ontario","loc8",102,102
"370","scul372","Hamilton Lake Ontario","loc17",93,105
"418","scul372","Hamilton Lake Ontario","loc13",233,236
"15","scul373","Hamilton Lake Ontario","loc105",326,326
"63","scul373","Hamilton Lake Ontario","loc128",322,350
"111","scul373","Hamilton Lake Ontario","loc11",222,224
"159","scul373","Hamilton Lake Ontario","loc113",132,138
"207","scul373","Hamilton Lake Ontario","loc213",331,331
"255","scul373","Hamilton Lake Ontario","loc2",236,236
"303","scul373","Hamilton Lake Ontario","loc8",102,105
"351","scul373","Hamilton Lake Ontario","loc17",0,0
"399","scul373","Hamilton Lake Ontario","loc13",227,233
"41","scul374","Hamilton Lake Ontario","loc105",326,332
"89","scul374","Hamilton Lake Ontario","loc128",318,336
"137","scul374","Hamilton Lake Ontario","loc11",222,222
"185","scul374","Hamilton Lake Ontario","loc113",138,138
"233","scul374","Hamilton Lake Ontario","loc213",331,331
"281","scul374","Hamilton Lake Ontario","loc2",236,239
"329","scul374","Hamilton Lake Ontario","loc8",102,102
"377","scul374","Hamilton Lake Ontario","loc17",126,129
"425","scul374","Hamilton Lake Ontario","loc13",0,233
"24","scul377","Fairhaven Lake Ontario","loc105",326,332
"72","scul377","Fairhaven Lake Ontario","loc128",316,318
"120","scul377","Fairhaven Lake Ontario","loc11",204,210
"168","scul377","Fairhaven Lake Ontario","loc113",138,138
"216","scul377","Fairhaven Lake Ontario","loc213",331,331
"264","scul377","Fairhaven Lake Ontario","loc2",236,245
"312","scul377","Fairhaven Lake Ontario","loc8",102,102
"360","scul377","Fairhaven Lake Ontario","loc17",105,138
"408","scul377","Fairhaven Lake Ontario","loc13",233,233
"44","scul378","Fairhaven Lake Ontario","loc105",326,326
"92","scul378","Fairhaven Lake Ontario","loc128",318,318
"140","scul378","Fairhaven Lake Ontario","loc11",222,222
"188","scul378","Fairhaven Lake Ontario","loc113",138,138
"236","scul378","Fairhaven Lake Ontario","loc213",331,331
"284","scul378","Fairhaven Lake Ontario","loc2",239,245
"332","scul378","Fairhaven Lake Ontario","loc8",102,105
"380","scul378","Fairhaven Lake Ontario","loc17",111,120
"428","scul378","Fairhaven Lake Ontario","loc13",233,236
"1","scul379","Fairhaven Lake Ontario","loc105",332,332
"49","scul379","Fairhaven Lake Ontario","loc128",318,332
"97","scul379","Fairhaven Lake Ontario","loc11",204,222
"145","scul379","Fairhaven Lake Ontario","loc113",132,138
"193","scul379","Fairhaven Lake Ontario","loc213",331,331
"241","scul379","Fairhaven Lake Ontario","loc2",236,245
"289","scul379","Fairhaven Lake Ontario","loc8",102,102
"337","scul379","Fairhaven Lake Ontario","loc17",105,114
"385","scul379","Fairhaven Lake Ontario","loc13",230,233
"33","scul380","Fairhaven Lake Ontario","loc105",326,326
"81","scul380","Fairhaven Lake Ontario","loc128",332,332
"129","scul380","Fairhaven Lake Ontario","loc11",204,222
"177","scul380","Fairhaven Lake Ontario","loc113",132,138
"225","scul380","Fairhaven Lake Ontario","loc213",331,331
"273","scul380","Fairhaven Lake Ontario","loc2",236,239
"321","scul380","Fairhaven Lake Ontario","loc8",102,102
"369","scul380","Fairhaven Lake Ontario","loc17",111,111
"417","scul380","Fairhaven Lake Ontario","loc13",233,233
"20","scul381","Fairhaven Lake Ontario","loc105",326,326
"68","scul381","Fairhaven Lake Ontario","loc128",324,332
"116","scul381","Fairhaven Lake Ontario","loc11",210,222
"164","scul381","Fairhaven Lake Ontario","loc113",138,140
"212","scul381","Fairhaven Lake Ontario","loc213",331,331
"260","scul381","Fairhaven Lake Ontario","loc2",236,242
"308","scul381","Fairhaven Lake Ontario","loc8",102,102
"356","scul381","Fairhaven Lake Ontario","loc17",93,129
"404","scul381","Fairhaven Lake Ontario","loc13",233,242
"25","scul382","Fairhaven Lake Ontario","loc105",332,332
"73","scul382","Fairhaven Lake Ontario","loc128",332,332
"121","scul382","Fairhaven Lake Ontario","loc11",222,226
"169","scul382","Fairhaven Lake Ontario","loc113",138,138
"217","scul382","Fairhaven Lake Ontario","loc213",331,331
"265","scul382","Fairhaven Lake Ontario","loc2",233,242
"313","scul382","Fairhaven Lake Ontario","loc8",102,102
"361","scul382","Fairhaven Lake Ontario","loc17",111,114
"409","scul382","Fairhaven Lake Ontario","loc13",233,233
"43","scul383","Fairhaven Lake Ontario","loc105",326,326
"91","scul383","Fairhaven Lake Ontario","loc128",326,332
"139","scul383","Fairhaven Lake Ontario","loc11",204,222
"187","scul383","Fairhaven Lake Ontario","loc113",132,138
"235","scul383","Fairhaven Lake Ontario","loc213",331,331
"283","scul383","Fairhaven Lake Ontario","loc2",242,242
"331","scul383","Fairhaven Lake Ontario","loc8",102,102
"379","scul383","Fairhaven Lake Ontario","loc17",114,120
"427","scul383","Fairhaven Lake Ontario","loc13",233,239
"36","scul384","Fairhaven Lake Ontario","loc105",326,336
"84","scul384","Fairhaven Lake Ontario","loc128",0,336
"132","scul384","Fairhaven Lake Ontario","loc11",204,222
"180","scul384","Fairhaven Lake Ontario","loc113",138,138
"228","scul384","Fairhaven Lake Ontario","loc213",331,331
"276","scul384","Fairhaven Lake Ontario","loc2",233,239
"324","scul384","Fairhaven Lake Ontario","loc8",102,102
"372","scul384","Fairhaven Lake Ontario","loc17",69,69
"420","scul384","Fairhaven Lake Ontario","loc13",233,239
"18","scul385","Fairhaven Lake Ontario","loc105",326,332
"66","scul385","Fairhaven Lake Ontario","loc128",320,332
"114","scul385","Fairhaven Lake Ontario","loc11",222,222
"162","scul385","Fairhaven Lake Ontario","loc113",138,138
"210","scul385","Fairhaven Lake Ontario","loc213",331,331
"258","scul385","Fairhaven Lake Ontario","loc2",236,245
"306","scul385","Fairhaven Lake Ontario","loc8",102,102
"354","scul385","Fairhaven Lake Ontario","loc17",117,138
"402","scul385","Fairhaven Lake Ontario","loc13",233,247
"21","scul386","Fairhaven Lake Ontario","loc105",326,332
"69","scul386","Fairhaven Lake Ontario","loc128",332,332
"117","scul386","Fairhaven Lake Ontario","loc11",222,222
"165","scul386","Fairhaven Lake Ontario","loc113",138,138
"213","scul386","Fairhaven Lake Ontario","loc213",331,331
"261","scul386","Fairhaven Lake Ontario","loc2",236,242
"309","scul386","Fairhaven Lake Ontario","loc8",102,102
"357","scul386","Fairhaven Lake Ontario","loc17",105,129
"405","scul386","Fairhaven Lake Ontario","loc13",233,233
"22","scul387","Fairhaven Lake Ontario","loc105",326,338
"70","scul387","Fairhaven Lake Ontario","loc128",332,332
"118","scul387","Fairhaven Lake Ontario","loc11",204,204
"166","scul387","Fairhaven Lake Ontario","loc113",138,140
"214","scul387","Fairhaven Lake Ontario","loc213",331,331
"262","scul387","Fairhaven Lake Ontario","loc2",236,248
"310","scul387","Fairhaven Lake Ontario","loc8",102,102
"358","scul387","Fairhaven Lake Ontario","loc17",111,132
"406","scul387","Fairhaven Lake Ontario","loc13",230,233
"19","scul388","Fairhaven Lake Ontario","loc105",326,330
"67","scul388","Fairhaven Lake Ontario","loc128",318,318
"115","scul388","Fairhaven Lake Ontario","loc11",216,222
"163","scul388","Fairhaven Lake Ontario","loc113",138,138
"211","scul388","Fairhaven Lake Ontario","loc213",331,331
"259","scul388","Fairhaven Lake Ontario","loc2",236,239
"307","scul388","Fairhaven Lake Ontario","loc8",102,102
"355","scul388","Fairhaven Lake Ontario","loc17",126,132
"403","scul388","Fairhaven Lake Ontario","loc13",233,233
"8","scul389","Fairhaven Lake Ontario","loc105",326,336
"56","scul389","Fairhaven Lake Ontario","loc128",316,332
"104","scul389","Fairhaven Lake Ontario","loc11",204,222
"152","scul389","Fairhaven Lake Ontario","loc113",138,138
"200","scul389","Fairhaven Lake Ontario","loc213",331,331
"248","scul389","Fairhaven Lake Ontario","loc2",233,236
"296","scul389","Fairhaven Lake Ontario","loc8",102,102
"344","scul389","Fairhaven Lake Ontario","loc17",111,132
"392","scul389","Fairhaven Lake Ontario","loc13",233,233
"9","scul390","Fairhaven Lake Ontario","loc105",326,336
"57","scul390","Fairhaven Lake Ontario","loc128",332,336
"105","scul390","Fairhaven Lake Ontario","loc11",204,222
"153","scul390","Fairhaven Lake Ontario","loc113",138,138
"201","scul390","Fairhaven Lake Ontario","loc213",331,331
"249","scul390","Fairhaven Lake Ontario","loc2",236,242
"297","scul390","Fairhaven Lake Ontario","loc8",102,105
"345","scul390","Fairhaven Lake Ontario","loc17",108,114
"393","scul390","Fairhaven Lake Ontario","loc13",236,239
"37","scul391","Fairhaven Lake Ontario","loc105",326,332
"85","scul391","Fairhaven Lake Ontario","loc128",332,332
"133","scul391","Fairhaven Lake Ontario","loc11",222,226
"181","scul391","Fairhaven Lake Ontario","loc113",138,138
"229","scul391","Fairhaven Lake Ontario","loc213",331,331
"277","scul391","Fairhaven Lake Ontario","loc2",245,245
"325","scul391","Fairhaven Lake Ontario","loc8",102,105
"373","scul391","Fairhaven Lake Ontario","loc17",108,111
"421","scul391","Fairhaven Lake Ontario","loc13",227,233
"10","scul392","Fairhaven Lake Ontario","loc105",332,332
"58","scul392","Fairhaven Lake Ontario","loc128",318,332
"106","scul392","Fairhaven Lake Ontario","loc11",204,222
"154","scul392","Fairhaven Lake Ontario","loc113",138,138
"202","scul392","Fairhaven Lake Ontario","loc213",331,331
"250","scul392","Fairhaven Lake Ontario","loc2",236,242
"298","scul392","Fairhaven Lake Ontario","loc8",102,105
"346","scul392","Fairhaven Lake Ontario","loc17",111,139
"394","scul392","Fairhaven Lake Ontario","loc13",233,236
"16","scul408","Fairhaven Lake Ontario","loc105",332,332
"64","scul408","Fairhaven Lake Ontario","loc128",316,348
"112","scul408","Fairhaven Lake Ontario","loc11",222,222
"160","scul408","Fairhaven Lake Ontario","loc113",132,132
"208","scul408","Fairhaven Lake Ontario","loc213",331,331
"256","scul408","Fairhaven Lake Ontario","loc2",236,236
"304","scul408","Fairhaven Lake Ontario","loc8",102,102
"352","scul408","Fairhaven Lake Ontario","loc17",111,123
"400","scul408","Fairhaven Lake Ontario","loc13",233,236
"23","scul409","Fairhaven Lake Ontario","loc105",326,326
"71","scul409","Fairhaven Lake Ontario","loc128",318,332
"119","scul409","Fairhaven Lake Ontario","loc11",218,222
"167","scul409","Fairhaven Lake Ontario","loc113",138,138
"215","scul409","Fairhaven Lake Ontario","loc213",331,331
"263","scul409","Fairhaven Lake Ontario","loc2",236,242
"311","scul409","Fairhaven Lake Ontario","loc8",102,105
"359","scul409","Fairhaven Lake Ontario","loc17",105,111
"407","scul409","Fairhaven Lake Ontario","loc13",233,233
"14","scul410","Fairhaven Lake Ontario","loc105",326,330
"62","scul410","Fairhaven Lake Ontario","loc128",318,332
"110","scul410","Fairhaven Lake Ontario","loc11",204,222
"158","scul410","Fairhaven Lake Ontario","loc113",138,138
"206","scul410","Fairhaven Lake Ontario","loc213",331,331
"254","scul410","Fairhaven Lake Ontario","loc2",236,242
"302","scul410","Fairhaven Lake Ontario","loc8",102,105
"350","scul410","Fairhaven Lake Ontario","loc17",117,120
"398","scul410","Fairhaven Lake Ontario","loc13",233,239
"11","scul411","Fairhaven Lake Ontario","loc105",326,338
"59","scul411","Fairhaven Lake Ontario","loc128",0,0
"107","scul411","Fairhaven Lake Ontario","loc11",204,222
"155","scul411","Fairhaven Lake Ontario","loc113",132,140
"203","scul411","Fairhaven Lake Ontario","loc213",331,331
"251","scul411","Fairhaven Lake Ontario","loc2",236,248
"299","scul411","Fairhaven Lake Ontario","loc8",102,102
"347","scul411","Fairhaven Lake Ontario","loc17",99,126
"395","scul411","Fairhaven Lake Ontario","loc13",233,248
"17","scul412","Fairhaven Lake Ontario","loc105",326,326
"65","scul412","Fairhaven Lake Ontario","loc128",318,332
"113","scul412","Fairhaven Lake Ontario","loc11",204,222
"161","scul412","Fairhaven Lake Ontario","loc113",138,138
"209","scul412","Fairhaven Lake Ontario","loc213",331,331
"257","scul412","Fairhaven Lake Ontario","loc2",236,236
"305","scul412","Fairhaven Lake Ontario","loc8",102,102
"353","scul412","Fairhaven Lake Ontario","loc17",120,123
"401","scul412","Fairhaven Lake Ontario","loc13",227,233
"30","scul413","Fairhaven Lake Ontario","loc105",326,326
"78","scul413","Fairhaven Lake Ontario","loc128",318,324
"126","scul413","Fairhaven Lake Ontario","loc11",204,222
"174","scul413","Fairhaven Lake Ontario","loc113",138,138
"222","scul413","Fairhaven Lake Ontario","loc213",331,331
"270","scul413","Fairhaven Lake Ontario","loc2",239,245
"318","scul413","Fairhaven Lake Ontario","loc8",102,102
"366","scul413","Fairhaven Lake Ontario","loc17",114,117
"414","scul413","Fairhaven Lake Ontario","loc13",227,233
"5","scul414","Fairhaven Lake Ontario","loc105",326,326
"53","scul414","Fairhaven Lake Ontario","loc128",316,332
"101","scul414","Fairhaven Lake Ontario","loc11",222,222
"149","scul414","Fairhaven Lake Ontario","loc113",138,138
"197","scul414","Fairhaven Lake Ontario","loc213",331,331
"245","scul414","Fairhaven Lake Ontario","loc2",236,236
"293","scul414","Fairhaven Lake Ontario","loc8",102,102
"341","scul414","Fairhaven Lake Ontario","loc17",117,123
"389","scul414","Fairhaven Lake Ontario","loc13",227,233
"32","scul415","Fairhaven Lake Ontario","loc105",326,326
"80","scul415","Fairhaven Lake Ontario","loc128",318,332
"128","scul415","Fairhaven Lake Ontario","loc11",222,226
"176","scul415","Fairhaven Lake Ontario","loc113",138,138
"224","scul415","Fairhaven Lake Ontario","loc213",331,331
"272","scul415","Fairhaven Lake Ontario","loc2",236,245
"320","scul415","Fairhaven Lake Ontario","loc8",102,108
"368","scul415","Fairhaven Lake Ontario","loc17",114,129
"416","scul415","Fairhaven Lake Ontario","loc13",233,233
